train_start,train_end,test_start,test_end,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,cumulative_nav,turnover,cost_fraction
2017-04-27,2018-04-26,2018-05-01,2018-05-30,0.01688020736875817,0.22246808925684491,0.05907288411775312,3.431249865363002,-0.010599109577639876,1.0168802073687582,0.004063774614383669,8.11186289588989e-06
2017-05-31,2018-05-30,2018-06-04,2018-07-02,-0.009765759802770946,-0.11109516013231846,0.04454365649547912,-2.620886198940016,-0.022089361547754316,0.990234240197229,0.0046999807654551995,9.408127333482497e-06
2017-07-03,2018-07-02,2018-07-06,2018-08-03,0.020268162748534824,0.27224870522164624,0.047261130819996305,5.120869888386811,-0.0065621142571311575,1.0202681627485348,0.002759881658453852,5.509958314919573e-06
2017-08-04,2018-08-03,2018-08-08,2018-09-06,-0.0003436776149808862,-0.004116344759381385,0.05402433325520399,-0.04934991375759779,-0.011600869834090144,0.9996563223850191,5.410426947303468e-06,1.5122046983534989e-12
2017-09-07,2018-09-06,2018-09-11,2018-10-09,-0.00010251268782457412,-0.0012294589066672579,0.038446690639202585,-0.012762167346142059,-0.01373928082549758,0.9998974873121754,0.0016366657219674683,3.2645026772894355e-06
2017-10-10,2018-10-09,2018-10-12,2018-11-09,0.009653331132255749,0.1221925720044732,0.10985486867305821,1.1046351901850902,-0.03559122571341966,1.0096533311322557,7.214695501564224e-06,1.6932277216149832e-12
2017-11-10,2018-11-09,2018-11-14,2018-12-14,-0.028925392936991257,-0.29687721250927257,0.11851985002966942,-2.910212792355986,-0.04515260180492642,0.9710746070630087,8.091743389703212e-06,9.21954758496091e-13
2017-12-14,2018-12-14,2018-12-19,2019-01-18,0.033922792978189564,0.49230403821446456,0.1452914289967936,2.8298695149542823,-0.036227284002220195,1.0339227929781896,7.0272767491653085e-06,1.3807271615023934e-12
2018-01-19,2019-01-18,2019-01-24,2019-02-22,0.041495986466453916,0.6288879410548589,0.05664380706621231,8.650028983274392,-0.0057466808405785,1.041495986466454,8.334373014277485e-06,1.1182330380608694e-12
2018-02-22,2019-02-22,2019-02-27,2019-03-27,-0.0031541922666259437,-0.037200532929344554,0.06880967406398358,-0.5164481512074479,-0.01383284772061022,0.9968458077333741,0.00030526853237725505,5.929257609545144e-07
2018-03-27,2019-03-27,2019-04-01,2019-04-30,0.021607669778998195,0.2924380551518828,0.04366571701005287,5.899669678713046,-0.005019261271997366,1.0216076697789982,9.057446098015774e-06,1.209385716118897e-12
2018-04-30,2019-04-30,2019-05-03,2019-06-03,-0.025449988013593217,-0.2660785616059913,0.09169090336208754,-3.3258357779166223,-0.038174767661179776,0.9745500119864068,7.336883487816615e-05,1.3221966358850052e-07
2018-06-01,2019-06-03,2019-06-06,2019-07-05,0.03272772661854595,0.4717364468593592,0.051537422063099796,7.529776373973235,-0.01036940920672802,1.032727726618546,0.0025452783168576085,5.075585035177192e-06
2018-07-05,2019-07-05,2019-07-10,2019-08-07,-0.012538018023208863,-0.14050252038085476,0.08303770458379256,-1.7810794227170335,-0.03217809035859409,0.9874619819767911,8.360923298452794e-06,6.937444350878205e-13
2018-08-07,2019-08-07,2019-08-12,2019-09-10,0.01863631333480975,0.2480438691338862,0.10057830387687458,2.254511249317167,-0.016247513184536766,1.0186363133348098,0.0022931706172952286,4.574052617902581e-06
2018-09-10,2019-09-10,2019-09-13,2019-10-11,-0.008482877486380658,-0.09717698587730095,0.07361213526085444,-1.3516098390525395,-0.02349398711149342,0.9915171225136193,9.401337994313666e-06,2.2093520131662467e-12
2018-10-11,2019-10-11,2019-10-16,2019-11-13,0.022358917603588324,0.3038891578649643,0.03209067678095184,8.289157983107382,-0.002718348591677855,1.0223589176035883,9.593661720644951e-06,1.5669473950252478e-12
2018-11-13,2019-11-13,2019-11-18,2019-12-17,0.014325704903642489,0.18612149821105062,0.042287108257296965,4.0589233278503345,-0.01032167660479455,1.0143257049036425,8.861342242106166e-06,1.2280151321490295e-12
2018-12-18,2019-12-17,2019-12-20,2020-01-22,0.015615689885999595,0.20435028065332173,0.036488842351136995,5.11592245233093,-0.003781758729167639,1.0156156898859996,9.008539753385134e-06,1.3281300698898977e-12
2019-01-23,2020-01-22,2020-01-27,2020-02-25,-0.03291381132355897,-0.33075956608603296,0.11655691735070549,-3.3841445397650936,-0.042030987093877314,0.967086188676441,8.273146317003478e-06,1.0454861576064369e-12
2019-02-26,2020-02-25,2020-02-28,2020-03-27,-0.1283247499121163,-0.8075771776977515,0.5952383297133647,-2.4584866795298232,-0.22374971304043778,0.8716752500878837,9.606456627099731e-06,9.169521659208857e-13
2019-03-29,2020-03-27,2020-04-01,2020-04-30,0.05648262252476699,0.9335183400018592,0.2291345709216297,2.9954572285332315,-0.024131407609920497,1.056482622524767,0.014705939801473222,2.94061108018848e-05
2019-05-02,2020-04-30,2020-05-05,2020-06-03,0.0645826668581091,1.1191060454943265,0.14249995230990098,5.348983811292211,-0.025752198037587992,1.064582666858109,8.214635974947773e-06,9.08554040683422e-13
2019-06-05,2020-06-03,2020-06-08,2020-07-07,-0.030369870194469906,-0.30932581324119945,0.19220949690551625,-1.8265452296174398,-0.0594800697642448,0.9696301298055301,1.0334729480678166e-05,9.419582134243678e-13
2019-07-09,2020-07-07,2020-07-10,2020-08-07,0.06142663611849408,1.0449362928911836,0.0735452200187424,9.777408969499527,-0.008213206533311368,1.061426636118494,8.67541582999403e-06,9.610523011418317e-13
2019-08-09,2020-08-07,2020-08-12,2020-09-10,-0.006702506414860032,-0.07753037369252747,0.09586882296657588,-0.793571815221812,-0.02775497996752596,0.99329749358514,1.0004276026891276e-05,8.704933834425173e-13
2019-09-12,2020-09-10,2020-09-15,2020-10-13,0.008753227497827032,0.1102460763822759,0.11130632710619347,0.9955934740080027,-0.036148942008036644,1.008753227497827,0.0003354108843777447,6.595881649876028e-07
2019-10-15,2020-10-13,2020-10-16,2020-11-13,0.031648466859789615,0.4533855743727424,0.1396311999940289,2.7495701732136157,-0.03750577176159142,1.0316484668597896,0.001546819975461671,3.0752926565138467e-06
2019-11-15,2020-11-13,2020-11-18,2020-12-17,0.02314416298026556,0.3159578267452581,0.07884884332025661,3.5234543701612275,-0.011660023815133758,1.0231441629802656,0.00020172595732415247,3.86530722617266e-07
2019-12-19,2020-12-17,2020-12-22,2021-01-22,0.02279349360561267,0.3105556881663869,0.07209693981493238,3.7892659830267186,-0.008273776822614765,1.0227934936056127,0.0031878716431903197,6.357963802564283e-06
2020-01-24,2021-01-22,2021-01-27,2021-02-25,0.009285686302860752,0.11729889577086561,0.11231077558500123,1.0441829219577532,-0.01600433585405303,1.0092856863028608,0.0027604950822818913,5.510691920376163e-06
2020-02-27,2021-02-25,2021-03-02,2021-03-30,0.014027166695157245,0.18193905539159183,0.09763716835310583,1.7613312228391078,-0.01997382236264711,1.0140271666951572,0.008648008898727105,1.7279896703537752e-05
2020-03-31,2021-03-30,2021-04-05,2021-05-03,0.02256361804671303,0.30702544363399986,0.06311047533126396,4.276397808857805,-0.011065722411719991,1.022563618046713,0.009336705709583996,1.8660473430918984e-05
2020-05-04,2021-05-03,2021-05-06,2021-06-04,0.01788593922237225,0.23705606331065243,0.09086690814362519,2.3877128992600696,-0.026648795732817865,1.0178859392223722,0.0028404114395183884,5.671809135148848e-06
2020-06-05,2021-06-04,2021-06-09,2021-07-08,-0.018020935542677807,-0.19605424560548723,0.08042100842711758,-2.672090349198531,-0.028164647627850092,0.9819790644573222,0.0007568911624638088,1.4971504413981287e-06
2020-07-09,2021-07-08,2021-07-13,2021-08-10,0.0025448754799688444,0.030969594380305,0.07674521424932881,0.4358052177138592,-0.016364413117021526,1.0025448754799688,8.605198038895233e-06,1.331205216810371e-12
2020-08-11,2021-08-10,2021-08-13,2021-09-13,0.0012652758712929923,0.015289418280804101,0.06080698997828292,0.2799496562808914,-0.013606967167429374,1.001265275871293,0.0037388383432602926,7.461413085574454e-06
2020-09-14,2021-09-13,2021-09-16,2021-10-14,-0.005224401452798344,-0.0609223945601538,0.0911454162511885,-0.6439188675863301,-0.020338951951756612,0.9947755985472017,0.0012146040896497618,2.411522816634276e-06
2020-10-15,2021-10-14,2021-10-19,2021-11-16,0.027987323779945728,0.3926856872484714,0.051053154427861985,6.51781574397916,-0.007619261736082961,1.0279873237799457,0.003661003313351334,7.294173570603789e-06
2020-11-17,2021-11-16,2021-11-19,2021-12-20,-0.023013187373225774,-0.243751685381579,0.11427801391484016,-2.38619239540662,-0.036365178529011444,0.9769868126267742,0.0024336548947170265,4.851641004018682e-06
2020-12-21,2021-12-20,2021-12-23,2022-01-24,-0.02123535004906929,-0.22707152610523695,0.0767133797716762,-3.3173843070146325,-0.04046129801014675,0.9787646499509307,0.0023778204952511674,4.73678363048583e-06
2021-01-26,2022-01-24,2022-01-27,2022-02-25,0.007875964406517388,0.09871501713453568,0.11303440499053594,0.8894510146312472,-0.034638081249757535,1.0078759644065174,0.002730577542323476,5.4497772340207185e-06
2021-03-01,2022-02-25,2022-03-02,2022-03-30,0.025043029648446735,0.34556648422892233,0.1083487561689313,2.7952902469264513,-0.026157826409928586,1.0250430296484467,0.0023977852387140103,4.777177835507188e-06
2021-04-01,2022-03-30,2022-04-04,2022-05-03,-0.04494659965552772,-0.4241201775779524,0.12133495426521244,-4.482211904419021,-0.04956450086277486,0.9550534003444723,0.0037305444416896164,7.453432444025866e-06
2021-05-05,2022-05-03,2022-05-06,2022-06-06,-0.004266129918043204,-0.050009286570253386,0.13751910792263658,-0.3039573005604118,-0.027979461272120476,0.9957338700819568,0.0057327820736701,1.1452794168606662e-05
2021-06-08,2022-06-06,2022-06-09,2022-07-11,-0.042329096644573405,-0.40489238040723496,0.15023559566120853,-3.3756868471309254,-0.053152537807510725,0.9576709033554266,9.703403319624785e-06,6.822013491762565e-13
2021-07-12,2022-07-11,2022-07-14,2022-08-11,0.0582699265993567,0.9731379827227522,0.09397648116068352,7.288452282679573,-0.007846949763755218,1.0582699265993567,0.0015905161939214873,3.1666851246485684e-06
2021-08-12,2022-08-11,2022-08-16,2022-09-14,-0.051837760427411284,-0.47205112676596306,0.13526306973580096,-4.648249638241289,-0.05876933516212768,0.9481622395725887,1.1226054432784376e-05,6.921098646756542e-13
2021-09-15,2022-09-14,2022-09-19,2022-10-17,-0.032461881072074705,-0.3269969822680511,0.16806858987254117,-2.270663225204015,-0.05197767637518791,0.9675381189279253,0.0011349198248393963,2.254468880568277e-06
2021-10-18,2022-10-17,2022-10-20,2022-11-17,0.059977406369524866,1.0116818586931,0.14349146281463848,4.949107875096012,-0.014169917170049007,1.0599774063695249,0.0024222282792573154,4.832190288352269e-06
2021-11-18,2022-11-17,2022-11-22,2022-12-21,-0.001759678641584994,-0.020912970751256643,0.11054021029217811,-0.13583673269658103,-0.03230921919768304,0.998240321358415,0.0036614318978237283,7.308777925644397e-06
2021-12-22,2022-12-21,2022-12-27,2023-01-26,0.02545577436679336,0.3520825860854111,0.09515690409711931,3.219356431090175,-0.017319793456497035,1.0254557743667934,0.0009484790335317944,1.8816185811869225e-06
2022-01-26,2023-01-26,2023-01-31,2023-03-01,-0.017517898234352014,-0.1910982610949915,0.07974795746638925,-2.61830150690872,-0.03192820566445487,0.982482101765648,8.477374496892136e-06,5.782942989604119e-13
2022-03-01,2023-03-01,2023-03-06,2023-04-03,-0.0027719846475594556,-0.032761335270425906,0.09869845096354045,-0.28803788238194317,-0.032193084687178075,0.9972280153524405,0.002955478513741302,5.8994524556358905e-06
2022-04-01,2023-04-03,2023-04-06,2023-05-05,0.007162327146452485,0.0894158051714471,0.06721120664953423,1.3080090385386618,-0.013682425597936199,1.0071623271464525,9.188503809400154e-06,2.6302747927298977e-13
2022-05-05,2023-05-05,2023-05-10,2023-06-08,0.008630338737822596,0.10862412903727114,0.07612947021657987,1.3928038073192919,-0.01649517484290386,1.0086303387378226,0.00028329664865917037,5.570779589937087e-07
2022-06-08,2023-06-08,2023-06-13,2023-07-13,0.018987961895952754,0.25322381881651923,0.06531860304780657,3.4898896773028234,-0.016193781562005904,1.0189879618959528,7.471699609914402e-06,1.6133927748902532e-13
2022-07-13,2023-07-13,2023-07-18,2023-08-15,-0.013713995934685252,-0.15270539034045727,0.06204267387854473,-2.638912052077443,-0.028176390734136803,0.9862860040653147,0.002851970727391135,5.696644165224853e-06
2022-08-15,2023-08-15,2023-08-18,2023-09-18,0.011523783048220437,0.14739560183820988,0.06399554521144171,2.1810664111314497,-0.010421657947047858,1.0115237830482204,8.78821772999554e-06,1.7890128669483755e-13
2022-09-16,2023-09-18,2023-09-21,2023-10-19,-0.0332417694534225,-0.33347792482993843,0.08110881906523022,-4.957019182423974,-0.027638939530840845,0.9667582305465775,5.985420752701433e-06,2.0536843798820114e-13
2022-10-19,2023-10-19,2023-10-24,2023-11-21,0.04571944499718028,0.7099452487968336,0.08521152610159963,6.344758888887636,-0.012055112612128327,1.0457194449971803,9.74189467774588e-06,2.6878089964106466e-13
2022-11-21,2023-11-21,2023-11-27,2023-12-26,0.04452474985231247,0.6866494139331929,0.07687717298478959,6.845132237907646,-0.00977327539524031,1.0445247498523125,9.446736926363287e-06,3.82419043023873e-13
2022-12-23,2023-12-26,2023-12-29,2024-01-30,0.007493329019530037,0.09371999148263632,0.05903323331680532,1.5473264331412808,-0.01143486011801298,1.00749332901953,0.0015439536125418122,3.076445667132386e-06
2023-01-30,2024-01-30,2024-02-02,2024-03-04,0.024344093031146263,0.3345978123129092,0.0681500786337074,4.271761318506921,-0.011267584115832618,1.0243440930311463,0.0006764897234153195,1.3477224075861719e-06
2023-03-03,2024-03-04,2024-03-07,2024-04-05,0.012427602839297558,0.1597589350174542,0.06314511050262708,2.3793948429631926,-0.01342298941989728,1.0124276028392976,0.004910140851419519,9.815063596401957e-06
2023-04-05,2024-04-05,2024-04-10,2024-05-08,-0.004115557461323416,-0.04828398866345107,0.0759014308330121,-0.6139150622635038,-0.01837591692650642,0.9958844425386766,0.0021066458986006807,4.204556287434677e-06
2023-05-09,2024-05-08,2024-05-13,2024-06-11,-0.0029779911745877463,-0.03515634909816656,0.07081178056706464,-0.46995073963905165,-0.02100662323316682,0.9970220088254123,0.000547713720737829,1.079157128118161e-06
2023-06-12,2024-06-11,2024-06-14,2024-07-16,0.04041808587092399,0.6087728062218047,0.05547494806696667,8.606658399716519,-0.0067390724579631245,1.040418085870924,1.2721348224327905e-05,1.525780036349375e-13
2023-07-17,2024-07-16,2024-07-19,2024-08-16,0.00637892268479634,0.07929058719469695,0.12061068813646345,0.6932173866733005,-0.03950331353482506,1.0063789226847963,0.0007885974126022788,1.5523710900198514e-06
2023-08-17,2024-08-16,2024-08-21,2024-09-19,0.025814305246215863,0.35776626325255334,0.08221825361260189,3.763232537437315,-0.021385766471390344,1.0258143052462159,0.0003583499556730579,6.999476532417783e-07
2023-09-20,2024-09-19,2024-09-24,2024-10-22,0.006183518500371354,0.07677853749562957,0.06187488265161589,1.2266307128499128,-0.008021793865910731,1.0061835185003714,0.002178939549721837,4.334008364703922e-06
2023-10-23,2024-10-22,2024-10-25,2024-11-22,0.021782736007144976,0.2950982814122842,0.08096030824294598,3.235992094652223,-0.015581931631360901,1.021782736007145,0.005033523964499069,1.0059699727581627e-05
2023-11-24,2024-11-22,2024-11-27,2024-12-27,-0.031070620447082975,-0.3152918525226035,0.08310569977837894,-4.512309054420432,-0.04537560073660518,0.968929379552917,0.010593674189476173,2.1189865548491255e-05
2023-12-28,2024-12-27,2025-01-02,2025-02-03,0.025352842914136975,0.35045488038024675,0.07458786445872342,4.06770855193826,-0.013863178889308103,1.025352842914137,1.4817362953759941e-05,5.688593113950661e-13
2024-02-01,2025-02-03,2025-02-06,2025-03-07,-0.014096211635482803,-0.15663723081811143,0.07830417334142327,-2.1356547106444115,-0.024952812167485128,0.9859037883645172,0.002170668058592236,4.3223830722579155e-06
2024-03-06,2025-03-07,2025-03-12,2025-04-09,-0.016815096929603812,-0.18412727372057924,0.24237819582327097,-0.7184069958544356,-0.07936292583027471,0.9831849030703962,1.1296609452085954e-05,1.6393162836275103e-13
2024-04-09,2025-04-09,2025-04-14,2025-05-13,0.049213631720570694,0.7797831605985184,0.08484991617816223,6.844353525530551,-0.010321680555934853,1.0492136317205707,8.969096233504306e-06,1.72111329618002e-13
2024-05-10,2025-05-13,2025-05-16,2025-06-16,0.00950885170361393,0.12026708500587135,0.07231034106375922,1.6071058247302594,-0.01316441739776164,1.009508851703614,0.00010921549802574016,2.0419047217099887e-07
2024-06-13,2025-06-16,2025-06-20,2025-07-21,0.023018777666980794,0.31402389851121604,0.06079864885274339,4.524642201495172,-0.011331118110680327,1.0230187776669808,1.4168933057259122e-05,1.4981748386551604e-13
2024-07-18,2025-07-21,2025-07-24,2025-08-21,0.0008499021709369448,0.01024663539493531,0.05671102462541949,0.2080716590083384,-0.01634969966382438,1.000849902170937,0.0034703311326442243,6.9198244048647734e-06
2024-08-20,2025-08-21,2025-08-26,2025-09-24,0.01920243170334457,0.25639272803155544,0.03808073491171655,6.015415035920107,-0.0032550434629826652,1.0192024317033446,1.0264223557964274e-05,2.496445361104713e-13
2024-09-23,2025-09-24,2025-09-29,2025-10-27,0.022192473920457756,0.3013441038195426,0.08113335326136356,3.2887834042563973,-0.016073590279220173,1.0221924739204578,0.002432739042822438,4.841461336592914e-06
