date,strategy,turnover_realized,cost_bps,n_active_assets,n_effective,sharpe_6m,cvar_95,max_dd,fallback_active,vol_realized,trigger_sharpe,trigger_cvar,trigger_dd
2025-10-24,ERC,1.4673154599794618,44.01946379938386,30,8.067437663842096,2.0675920388471742,-0.011541825379048128,-0.023320007700730817,False,0.0366148535043492,False,False,False
2025-10-24,ERC,1.4673154599794618,44.01946379938386,30,8.067437663842096,2.0675920388471742,-0.011541825379048128,-0.023320007700730817,False,0.0366148535043492,False,False,False
2025-10-25,ERC,1.4673154599794618,44.01946379938386,30,8.067437663842096,2.0675920388471742,-0.011541825379048128,-0.023320007700730817,False,0.0366148535043492,False,False,False
2025-10-25,ERC,1.189189189189189,17.837837837837835,15,14.769230770483423,2.0675920388471742,-0.011541825379048128,-0.023320007700730817,False,0.04744798497406667,False,False,False
2025-10-25,ERC,1.1891891891891888,17.83783783783783,15,14.769230757554892,3.710769643207984,-0.009409265323578683,-0.02332000770073109,False,0.07247629050932482,False,False,False
2025-10-25,ERC,1.1891891889014474,17.83783783352171,15,12.120032093777727,3.710769643207984,-0.009409265323578683,-0.02332000770073109,False,0.06397403478254673,False,False,False
2025-10-25,ERC,1.1891891891891893,17.83783783783784,15,14.769232024737018,3.710769643207984,-0.009409265323578683,-0.02332000770073109,False,0.07247562689125524,False,False,False
2025-10-25,ERC,0.9189189189189189,13.783783783783782,20,18.545458523784244,3.710769643207984,-0.009409265323578683,-0.02332000770073109,False,0.08491616046196382,False,False,False
2025-10-25,ERC,0.6486486486486485,9.729729729729726,25,21.55102761085742,3.710769643207984,-0.009409265323578683,-0.02332000770073109,False,0.09987973834677953,False,False,False
2025-10-25,ERC,0.37837837837837834,5.675675675675675,30,23.999999142978787,3.710769643207984,-0.009409265323578683,-0.02332000770073109,False,0.11294750233696159,False,False,False
2025-10-25,ERC,1.1304347826086962,16.956521739130444,30,28.571434507949864,3.602435159568791,-0.009221591690075694,-0.02559798521642176,False,0.07192835035764174,False,False,False
2025-10-25,ERC,0.9855072463768112,14.782608695652169,35,32.00001697310788,3.602435159568791,-0.009221591690075694,-0.02559798521642176,False,0.07852361204214074,False,False,False
2025-10-25,ERC,0.6956521739130432,10.434782608695649,45,37.647075848763116,3.602435159568791,-0.009221591690075694,-0.02559798521642176,False,0.09213510660919672,False,False,False
2025-10-25,ERC,1.3623188405797104,20.434782608695656,22,21.9999998319174,3.602435159568791,-0.009221591690075694,-0.02559798521642176,False,0.06816754986403387,False,False,False
2025-10-25,ERC,1.3623188405650906,20.434782608476358,22,21.999998933119592,3.602435159568791,-0.009221591690075694,-0.02559798521642176,False,0.06814845028485611,False,False,False
2025-10-25,ERC,1.3623188405650906,20.434782608476358,22,21.999998933119592,3.602435159568791,-0.009221591690075694,-0.02559798521642176,False,0.06814845028485611,False,False,False
2025-10-25,ERC,1.3623188405650906,20.434782608476358,22,21.999998933119592,3.602435159568791,-0.009221591690075694,-0.02559798521642176,False,0.06814845028485611,False,False,False
2025-10-25,ERC,1.3623188405650906,20.434782608476358,22,21.999998933119592,3.602435159568791,-0.009221591690075694,-0.02559798521642176,False,0.06814845028485611,False,False,False
2025-10-25,ERC,1.3623188405650906,20.434782608476358,22,21.999998933119592,3.602435159568791,-0.009221591690075694,-0.02559798521642176,False,0.06814845028485611,False,False,False
2025-10-26,ERC,0.7736250341569105,23.208751024707315,69,25.49419731420667,3.602435159568791,-0.009221591690075694,-0.02559798521642176,False,0.12919286423501758,False,False,False
2025-10-26,ERC,0.7736250341569105,23.208751024707315,69,25.49419731420667,3.602435159568791,-0.009221591690075694,-0.02559798521642176,False,0.12919286423501758,False,False,False
2025-10-26,ERC,1.3623188405650906,20.434782608476358,22,21.999998933119592,3.602435159568791,-0.009221591690075694,-0.02559798521642176,False,0.06814845028485611,False,False,False
2025-10-26,ERC,1.3623188405650906,20.434782608476358,22,21.999998933119592,3.602435159568791,-0.009221591690075694,-0.02559798521642176,False,0.06814845028485611,False,False,False
2025-10-26,ERC,0.7736250341569105,23.208751024707315,69,25.49419731420667,3.602435159568791,-0.009221591690075694,-0.02559798521642176,False,0.12919286423501758,False,False,False
2025-10-26,ERC+CashFloor,1.3714285714285712,20.57142857142857,22,5.601795341084147,3.6024351595687887,-0.009089854665931754,-0.025234401980962624,False,0.03602983450056073,False,False,False
2025-10-26,ERC+CashFloor,1.3714285714285712,20.57142857142857,22,13.714763032697725,3.6024351595687887,-0.009089854665931754,-0.025234401980962624,False,0.040059621884207884,False,False,False
2025-10-26,ERC+CashFloor,1.3714285714285712,20.57142857142857,22,13.714763032697725,3.6024351595687887,-0.009089854665931754,-0.025234401980962624,False,0.040059621884207884,False,False,False
2025-10-26,ERC+CashFloor,1.3714285714285712,20.57142857142857,22,13.714763032697725,3.6024351595687887,-0.009089854665931754,-0.025234401980962624,False,0.040059621884207884,False,False,False
2025-10-26,ERC+CashFloor,1.3714285714285714,20.571428571428573,22,14.138373121574295,3.6024351595687887,-0.009089854665931754,-0.025234401980962624,False,0.04666647653737323,False,False,False
2025-10-26,ERC+CashFloor,1.3428571428571425,20.14285714285714,23,18.06981492203897,3.6024351595687887,-0.009089854665931754,-0.025234401980962624,False,0.06789381415052106,False,False,False
2025-10-26,ERC+CashFloor,1.3428571428571425,20.14285714285714,23,18.06981492203897,3.6024351595687887,-0.009089854665931754,-0.025234401980962624,False,0.06789381415052106,False,False,False
2025-10-26,ERC+CashFloor,1.3428571428571425,20.14285714285714,23,18.06981492203897,3.6024351595687887,-0.009089854665931754,-0.025234401980962624,False,0.06789381415052106,False,False,False
2025-10-26,ERC+CashFloor,1.3428571428571425,20.14285714285714,23,18.06981492203897,3.6024351595687887,-0.009089854665931754,-0.025234401980962624,False,0.06789381415052106,False,False,False
2025-10-27,ERC,0.7736250341569105,23.208751024707315,69,25.49419731420667,3.602435159568791,-0.009221591690075694,-0.02559798521642176,False,0.12919286423501758,False,False,False
2025-10-30,ERC,0.7736250341569105,23.208751024707315,69,25.49419731420667,3.602435159568791,-0.009221591690075694,-0.02559798521642176,False,0.12919286423501758,False,False,False
2025-10-31,ERC,0.7736250341569105,23.208751024707315,69,25.49419731420667,3.602435159568791,-0.009221591690075694,-0.02559798521642176,False,0.12919286423501758,False,False,False
2025-11-01,ERC,0.7736250341569105,23.208751024707315,69,25.49419731420667,3.602435159568791,-0.009221591690075694,-0.02559798521642176,False,0.12919286423501758,False,False,False
